
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        30       17       9.18848E-04   0.1575
        31       17       1.20591E-03   0.1486
        32       17       1.18875E-03   0.1405
         1       18       3.01725E-03   0.1554
         2       18       3.38786E-03   0.1736
         3       18       3.45693E-03   0.2026
         4       18       3.34952E-03   0.2399
         5       18       2.77260E-03   0.2372
         6       18       3.05456E-03   0.2262
         7       18       2.43044E-03   0.2088
         8       18       1.95650E-03   0.2227
         9       18       1.62887E-03   0.2749
        10       18       1.82900E-03   0.3160
        11       18       1.68147E-03   0.3510
        12       18       1.40238E-03   0.3361
        13       18       1.18066E-03   0.3341
        14       18       9.50988E-04   0.3411
        15       18       9.04670E-04   0.3162
        16       18       8.18796E-04   0.3346
        17       18       2.13936E-03   0.1118
        18       18       2.52584E-03   0.1696
        19       18       2.08082E-03   0.1638
        20       18       1.69170E-03   0.1197
        21       18       1.59892E-03   0.1469
        22       18       1.75385E-03   0.1795
        23       18       1.28237E-03   0.1188
        24       18       1.17416E-03   0.1466
        25       18       1.02370E-03   0.1576
        26       18       1.41932E-03   0.1610
        27       18       1.38739E-03   0.1716
        28       18       1.30731E-03   0.1871
        29       18       1.33297E-03   0.1690
        30       18       1.20939E-03   0.1655
        31       18       1.40612E-03   0.1496
        32       18       1.40005E-03   0.1544
         1       19       4.03921E-03   0.2383
         2       19       3.68446E-03   0.2723
         3       19       3.13064E-03   0.2273
         4       19       2.30905E-03   0.1894
         5       19       2.60568E-03   0.2001
         6       19       2.38959E-03   0.1933
         7       19       1.74055E-03   0.1929
         8       19       1.63041E-03   0.2131
         9       19       1.45408E-03   0.2317
        10       19       7.89148E-04   0.2220
        11       19       7.91826E-04   0.2804
        12       19       7.14849E-04   0.2651
        13       19       5.62804E-04   0.2559
        14       19       7.23948E-04   0.4136
        15       19       7.02963E-04   0.3659
        16       19       7.65290E-04   0.2925
        17       19       1.86362E-03   0.1039
        18       19       2.54004E-03   0.2473
        19       19       2.11132E-03   0.1519
