
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
         2       12       7.11891E-03   0.1347
         3       12       6.56540E-03   0.1516
         4       12       5.40001E-03   0.1796
         5       12       4.74402E-03   0.1852
         6       12       4.32309E-03   0.1783
         7       12       3.57592E-03   0.1921
         8       12       3.14406E-03   0.2177
         9       12       2.63335E-03   0.2279
        10       12       1.47706E-03   0.2295
        11       12       1.01971E-03   0.3064
        12       12       8.41949E-04   0.3064
        13       12       6.03562E-04   0.2922
        14       12       5.32575E-04   0.3338
        15       12       4.05075E-04   0.4129
        16       12       3.75483E-04   0.3800
        17       12       2.23125E-03   0.1706
        18       12       2.16291E-03   0.1602
        19       12       2.01135E-03   0.1590
        20       12       1.98554E-03   0.1700
        21       12       1.54766E-03   0.1447
        22       12       1.22659E-03   0.1227
        23       12       1.18196E-03   0.1239
        24       12       1.12751E-03   0.1342
        25       12       9.28615E-04   0.1310
        26       12       7.42065E-04   0.1268
        27       12       1.18474E-03   0.1790
        28       12       1.02049E-03   0.1545
        29       12       1.03507E-03   0.1561
        30       12       9.55457E-04   0.1884
        31       12       1.17356E-03   0.1897
        32       12       1.26156E-03   0.1702
         1       13       7.42438E-03   0.1376
         2       13       6.82790E-03   0.1235
         3       13       6.77595E-03   0.1306
         4       13       7.09241E-03   0.1581
         5       13       6.89784E-03   0.1550
         6       13       5.97057E-03   0.1521
         7       13       5.66897E-03   0.1492
         8       13       4.75604E-03   0.1780
         9       13       2.91099E-03   0.2058
        10       13       1.95822E-03   0.2125
        11       13       1.36573E-03   0.2619
        12       13       1.30236E-03   0.2434
        13       13       1.06291E-03   0.2361
        14       13       6.23680E-04   0.3138
        15       13       5.07363E-04   0.3523
        16       13       5.20888E-04   0.3549
        17       13       2.34319E-03   0.1290
        18       13       2.26120E-03   0.1612
        19       13       1.47330E-03   0.1346
        20       13       1.50415E-03   0.1153
        21       13       1.90851E-03   0.2015
        22       13       1.51971E-03   0.1129
        23       13       1.88824E-03   0.1510
        24       13       1.37023E-03   0.1435
        25       13       9.59566E-04   0.1325
        26       13       7.73939E-04   0.1271
        27       13       1.13827E-03   0.1340
        28       13       1.20763E-03   0.1801
        29       13       1.08884E-03   0.1696
        30       13       1.01752E-03   0.1509
        31       13       9.24956E-04   0.1367
        32       13       1.21135E-03   0.2051
         1       14       9.74293E-03   0.1630
         2       14       8.98634E-03   0.1609
         3       14       7.61220E-03   0.1847
         4       14       7.04931E-03   0.2072
         5       14       6.25059E-03   0.2100
         6       14       5.70104E-03   0.2014
         7       14       4.41648E-03   0.2030
         8       14       2.71305E-03   0.2437
         9       14       2.54273E-03   0.2619
        10       14       1.75403E-03   0.2848
        11       14       9.92368E-04   0.4333
        12       14       8.42643E-04   0.4350
        13       14       6.32732E-04   0.4232
        14       14       5.12231E-04   0.3972
        15       14       5.27228E-04   0.3769
        16       14       4.43503E-04   0.3512
        17       14       2.53266E-03   0.1274
        18       14       2.34657E-03   0.1976
        19       14       1.96942E-03   0.1657
        20       14       1.50669E-03   0.1259
        21       14       1.29233E-03   0.1289
        22       14       1.20662E-03   0.1113
        23       14       9.68789E-04   0.1299
        24       14       9.68315E-04   0.1131
        25       14       9.69626E-04   0.1403
        26       14       9.35941E-04   0.1267
        27       14       1.11110E-03   0.1523
        28       14       1.07504E-03   0.1404
        29       14       6.78509E-04   0.1585
        30       14       7.49584E-04   0.2029
        31       14       7.12278E-04   0.1344
        32       14       1.05689E-03   0.1435
         1       15       7.71393E-03   0.1469
         2       15       6.53703E-03   0.1398
         3       15       4.74222E-03   0.1335
         4       15       3.69421E-03   0.1642
         5       15       3.12965E-03   0.1635
         6       15       2.92784E-03   0.1606
         7       15       2.52375E-03   0.1643
         8       15       2.30082E-03   0.1836
         9       15       1.71486E-03   0.2402
        10       15       1.69245E-03   0.2823
        11       15       1.65694E-03   0.2936
        12       15       1.26117E-03   0.2927
        13       15       8.48988E-04   0.2612
        14       15       4.59899E-04   0.2791
        15       15       3.70138E-04   0.3604
        16       15       4.27599E-04   0.3616
        17       15       2.59225E-03   0.1784
        18       15       2.44064E-03   0.1367
        19       15       2.10122E-03   0.1547
        20       15       2.18944E-03   0.1525
        21       15       1.60023E-03   0.1417
        22       15       1.77502E-03   0.1681
        23       15       1.21753E-03   0.1385
        24       15       1.06134E-03   0.1274
        25       15       1.09252E-03   0.1205
        26       15       1.17977E-03   0.1269
        27       15       1.17936E-03   0.1331
        28       15       1.20342E-03   0.1562
        29       15       8.76605E-04   0.1384
        30       15       7.47016E-04   0.1317
        31       15       8.15549E-04   0.1602
        32       15       1.03888E-03   0.1528
         1       16       7.43644E-03   0.1391
         2       16       7.00652E-03   0.1555
         3       16       6.84882E-03   0.1665
         4       16       4.94148E-03   0.1809
         5       16       4.37024E-03   0.1800
         6       16       4.06546E-03   0.1737
         7       16       3.47838E-03   0.1700
         8       16       2.90119E-03   0.1911
         9       16       2.39580E-03   0.2269
        10       16       1.32228E-03   0.2292
        11       16       8.21669E-04   0.2823
        12       16       8.26123E-04   0.2942
        13       16       7.48301E-04   0.2904
        14       16       4.28598E-04   0.3503
        15       16       3.92595E-04   0.3190
        16       16       2.76543E-04   0.3460
        17       16       2.21597E-03   0.1049
        18       16       2.38442E-03   0.1296
        19       16       2.91066E-03   0.1909
        20       16       2.34967E-03   0.1349
        21       16       2.18144E-03   0.1796
        22       16       1.73358E-03   0.1404
        23       16       1.39236E-03   0.1328
        24       16       1.19480E-03   0.1183
        25       16       1.00784E-03   0.1168
        26       16       1.30845E-03   0.1273
        27       16       1.27463E-03   0.1186
        28       16       1.09767E-03   0.1185
        29       16       1.15884E-03   0.1479
        30       16       1.13962E-03   0.1581
        31       16       1.30868E-03   0.1602
        32       16       1.32668E-03   0.1719
         1       17       7.02278E-03   0.1419
         2       17       7.08309E-03   0.1602
         3       17       6.54211E-03   0.2012
         4       17       7.12017E-03   0.2420
         5       17       6.71847E-03   0.2353
         6       17       5.77678E-03   0.2350
         7       17       4.19589E-03   0.2144
         8       17       3.12345E-03   0.2049
         9       17       2.28581E-03   0.1994
        10       17       1.87769E-03   0.2391
