zone      T(1)         N(1)        T(2)        N(2)      V1(2)        V2(2)       V3(2)       
82  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8826.929317180638  0.0
83  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9196.058397411454  0.0
84  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9151.207247282482  0.0
85  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9056.656936165215  0.0
86  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9096.662244567236  0.0
87  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8527.68330090217  0.0
88  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8866.746440410601  0.0
89  23.100936304485877  8.063673485566279e+18  190.76818642966978  8.063673485566279e+18  0.0  9308.324994748495  0.0
90  23.923909840732616  8.025288465583366e+18  187.2499504561831  8.025288465583366e+18  0.0  9141.793766819846  0.0
91  22.773928428059325  8.079679557329793e+18  192.2204276643723  8.079679557329793e+18  0.0  9430.195148082928  0.0
92  22.565771102528338  8.0898682449142e+18  193.1448538731379  8.0898682449142e+18  0.0  9495.704432865057  0.0
93  22.539362260521603  8.091160879895871e+18  193.26213548036404  8.091160879895871e+18  0.0  9507.506381246778  0.0
94  22.9727471912361  8.069947964849159e+18  191.33747398976038  8.069947964849159e+18  0.0  9385.682147680456  0.0
95  23.769990330776896  8.031686873955384e+18  187.85175332327597  8.031686873955384e+18  0.0  9098.493485692472  0.0
96  23.630319215314074  8.037761752327041e+18  188.41719812794244  8.037761752327041e+18  0.0  9047.300951124205  0.0
97  23.27821652966209  8.054996141040421e+18  189.98088535328102  8.054996141040421e+18  0.0  9228.506875312296  0.0
98  23.55463255414362  8.041466391320674e+18  188.75332241788252  8.041466391320674e+18  0.0  9233.264929726793  0.0
99  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6698.234224062294  0.0
100  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6698.370879401954  0.0
101  18.322144223171676  8.369239843441733e+18  217.1500460662259  8.369239843441733e+18  0.0  12162.528258350367  0.0
102  26.109713362520573  7.936984925191319e+18  178.8880873192342  7.936984925191319e+18  0.0  8271.360200329416  0.0
103  23.15966573431361  8.060798853068966e+18  190.50736916551577  8.060798853068966e+18  0.0  9315.013022247675  0.0
104  28.82559961374521  7.844259777520565e+18  169.7218341632753  7.844259777520565e+18  0.0  7664.929202429682  0.0
105  28.202866011215015  7.86374071660252e+18  171.69541498447788  7.86374071660252e+18  0.0  7859.602602736836  0.0
106  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7323.968901841487  0.0
107  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8811.294579319456  0.0
108  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8953.29604241294  0.0
109  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7351.460201978913  0.0
110  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8758.289369340091  0.0
111  27.014474918097118  7.904550158190138e+18  175.72326284285515  7.904550158190138e+18  0.0  8189.330086589662  0.0
